epoch,loss,lr,val_loss
0,0.097488651588811717,0.01,0.047561746274810392
1,0.039578353912480137,0.01,0.053115106345612111
2,0.040121115107447078,0.01,0.016849846279217026
3,0.024897477868418234,0.01,0.026005245461049726
4,0.027018965195632925,0.01,0.024180179146134247
5,0.018384993865580884,0.01,0.056906775376722639
6,0.024629153795329865,0.01,0.017663783872615819
7,0.017624304161570167,0.01,0.016600471558207174
8,0.015127099003369188,0.01,0.013605632453546517
9,0.019198283537338347,0.01,0.012375990402395442
10,0.012783027522392193,0.01,0.018379090374893388
11,0.013858730110239848,0.01,0.0088671378759761985
12,0.013268624190346332,0.01,0.0087314720402371752
13,0.012838977446916413,0.01,0.021237324333965441
14,0.01184456794138598,0.01,0.023348279255258161
15,0.010627659890106169,0.01,0.031826636643480448
16,0.012863049283623695,0.01,0.013895490896061988
17,0.0097934734918135036,0.01,0.0092629000944437958
18,0.011446636233289363,0.01,0.019414351000792564
19,0.010069516211179859,0.01,0.0074216826782051454
20,0.011898556771546097,0.01,0.022775482428444307
21,0.0085890584514807852,0.01,0.026149468333328849
22,0.011503044200145592,0.01,0.011081527287172059
23,0.011002559890960065,0.01,0.018298018639538921
24,0.0079030907228799518,0.01,0.036954727560534313
25,0.011681680520207195,0.01,0.0085535114367971312
26,0.007482763684991389,0.01,0.022353504842284034
27,0.0088195613727478656,0.01,0.0079774587799263542
28,0.0076000510983295364,0.01,0.0073873987631861773
29,0.0088913392507087036,0.01,0.026559734776205685
30,0.0072389289810411671,0.01,0.019426519343219067
31,0.0052859628070566784,0.002,0.010142023651466027
32,0.004471132842202981,0.002,0.0095550950911253863
33,0.0042996186010623716,0.002,0.0076648834145675269
34,0.0041322037893331658,0.002,0.013283970565824522
35,0.0039796224469055902,0.002,0.0071988871273726733
