epoch,loss,lr,val_loss
0,0.10003932645428652,0.01,0.063722622828126629
1,0.033479972411010223,0.01,0.031059723102755971
2,0.030638031472088927,0.01,0.085330474848127641
3,0.029791875258298579,0.01,0.025449430343752865
4,0.027274468229652123,0.01,0.077940800200916274
5,0.030559917943457426,0.01,0.059076987270076396
6,0.02392656783347076,0.01,0.070983359190282855
7,0.029432410226955925,0.01,0.27157321622816183
8,0.029100413670984364,0.01,0.038642353088842271
9,0.025449204106031166,0.01,0.030707430725885651
10,0.019871934501212194,0.01,0.023483871371816782
11,0.02351301381269754,0.01,0.030369113538793083
12,0.02010296249898982,0.01,0.031291527389469796
13,0.021125233421723049,0.01,0.026588901140763933
14,0.017887964744731196,0.01,0.15251899405387837
15,0.019677903476871005,0.01,0.03801919430452215
16,0.019618500831752678,0.01,0.018675989666059191
17,0.017269592079739111,0.01,0.02656349899657702
18,0.016794839671334136,0.01,0.037712222680786237
19,0.018816243744018555,0.01,0.019439228663042103
20,0.014896980828821323,0.01,0.031447458454528773
21,0.016315030112946775,0.01,0.066271635119692751
22,0.019969761045386562,0.01,0.044324269812911918
23,0.015362559675665225,0.01,0.057135550947175859
24,0.016624243046014994,0.01,0.027564591249335284
25,0.014903777741990185,0.01,0.027161137563949923
26,0.014784559018194339,0.01,0.059512319537879381
27,0.015192319533792929,0.01,0.017229679248448315
28,0.01481732745565432,0.01,0.047314722511896307
29,0.01633272919603913,0.01,0.021306031220461017
30,0.015193918109529437,0.01,0.019923275515521314
31,0.013205835019569781,0.01,0.021899040683177905
32,0.013591308094098069,0.01,0.040045458655067756
33,0.014237814261920034,0.01,0.022577895882860414
34,0.01352823834529536,0.01,0.041033598136598778
35,0.014269902568184218,0.01,0.024103800582010195
36,0.013062254165293975,0.01,0.021068756084489285
37,0.012547786423862822,0.01,0.025344572456206305
38,0.012716724658332302,0.01,0.030725303647966034
39,0.010708972327621644,0.002,0.023119796414749098
40,0.0095708787080826564,0.002,0.027491593470344435
41,0.0094859985395276784,0.002,0.026626836129669415
42,0.0095088623890305975,0.002,0.024943405857025567
43,0.0091179403618483219,0.002,0.029664720182364945
