epoch,loss,lr,val_loss
0,0.050582694227409644,0.01,0.019698091319691368
1,0.026490600431087422,0.01,0.035931018494309214
2,0.022630308351713663,0.01,0.018928694598681746
3,0.019456688750382752,0.01,0.019742268279238404
4,0.017583302467277174,0.01,0.01765082485712411
5,0.018383387149425976,0.01,0.012203773352922056
6,0.015411840768106151,0.01,0.024364219259536059
7,0.016716563888983418,0.01,0.041740575925125714
8,0.0150179458422619,0.01,0.019171286511850374
9,0.015027252118489896,0.01,0.010239191527603662
10,0.015023172379618413,0.01,0.017158416583208224
11,0.01461216779044497,0.01,0.013024472536203282
12,0.013777388499407043,0.01,0.013424977921603019
13,0.013455963824271109,0.01,0.01401552100725777
14,0.013763490900920149,0.01,0.013608100404690581
15,0.012542748940858052,0.01,0.028705480965998089
16,0.01380495467272244,0.01,0.027224049880305492
17,0.013256522805065091,0.01,0.0097831998303619747
18,0.012719540491874456,0.01,0.016626536503042046
19,0.012898004199895594,0.01,0.0071693548268219184
20,0.0126475600841624,0.01,0.028292920042853258
21,0.012593919977720022,0.01,0.008710094978106998
22,0.012754526588390444,0.01,0.020987777253177169
23,0.012714147437037084,0.01,0.012224310567896617
24,0.01256099911352173,0.01,0.0087378479660167336
25,0.011997712378482722,0.01,0.023153496835359007
26,0.011967675498964494,0.01,0.0092346836262714796
27,0.012411922728370505,0.01,0.017398877427450311
28,0.011820628686279755,0.01,0.019870913110956637
29,0.012452331938023805,0.01,0.020281778568162295
30,0.011682826628069781,0.01,0.022636915646950927
31,0.01131814370770552,0.002,0.010605862818941561
32,0.010569937783157268,0.002,0.013074931246092358
33,0.010486481384488574,0.002,0.013224481338123132
34,0.010603887069839658,0.002,0.01189449040371685
35,0.010473939355963852,0.002,0.012187650370035778
